Nome,Nasc.,Pos.,Gols,GP,Ast.,Des.,Int.,Def.,PD,Part.,Valor
Lamine Yamal,13/07/2007,ATA,18,-,15,-,-,-,-,115,€200.00m
Erling Haaland,21/07/2000,ATA,307,55,65,-,-,-,-,387,€200.00m
Kylian Mbappé,20/12/1998,ATA,385,49,142,-,-,-,-,488,€200.00m
Vinicius Junior,12/07/2000,ATA,137,-,111,-,-,-,-,455,€150.00m
Bukayo Saka,05/09/2001,ATA,78,12,64,-,-,-,-,312,€130.00m
Michael Olise,12/12/2001,ATA,52,-,45,-,-,-,-,215,€130.00m
Alexander Isak,21/09/1999,ATA,142,15,32,-,-,-,-,388,€120.00m
Cole Palmer,06/05/2002,ATA,61,18,48,-,-,-,-,198,€120.00m
Julian Alvarez,31/01/2000,ATA,102,10,44,-,-,-,-,324,€100.00m
Ousmane Dembélé,15/05/1997,ATA,78,-,92,-,-,-,-,412,€100.00m
Harry Kane,28/07/1993,ATA,445,72,98,-,-,-,-,652,€90.00m
Khvicha Kvaratskhelia,12/02/2001,ATA,65,-,58,-,-,-,-,285,€90.00m
Désiré Doué,03/06/2005,ATA,24,-,18,-,-,-,-,112,€90.00m
Hugo Ekitiké,20/06/2002,ATA,48,-,15,-,-,-,-,142,€85.00m
Lautaro Martínez,22/08/1997,ATA,165,22,45,-,-,-,-,425,€85.00m
Rafael Leão,10/06/1999,ATA,82,-,64,-,-,-,-,352,€70.00m
Kenan Yildiz,04/05/2005,ATA,21,-,12,-,-,-,-,98,€75.00m
Marcus Thuram,06/08/1997,ATA,92,-,42,-,-,-,-,382,€60.00m
Lois Openda,16/02/2000,ATA,112,8,25,-,-,-,-,275,€40.00m
Viktor Gyökeres,04/06/1998,ATA,152,14,38,-,-,-,-,345,€75.00m
Jude Bellingham,29/06/2003,MEI,78,-,63,-,-,-,-,327,€160.00m
Pedri,25/11/2002,MEI,28,-,42,-,-,-,-,254,€140.00m
Jamal Musiala,26/02/2003,MEI,62,-,54,-,-,-,-,212,€130.00m
Florian Wirtz,03/05/2003,MEI,58,-,75,-,-,-,-,228,€110.00m
Federico Valverde,22/07/1998,MEI,34,-,45,45*,22*,-,-,412,€120.00m
